CRASH_YR_NO,CNTY_NM,FATAL_CRASHES,NON_FATAL_CRASHES,PROP_DAMAGE_ONLY,TOTAL_CRASHES,PEOPLE_KILLED,PEOPLE_INJURED,TRUCKS,DRY_SURF,WET_SURF,DAY_COND,DARK_COND,INTERSECTION,ISECT_RELATED,OFFROAD
2019,Baker,2,73,90,165,3,101,33,113,52,97,68,20,0,98
2019,Benton,4,204,166,374,4,304,23,271,91,264,107,147,32,80
2019,Clackamas,17,1209,895,2121,19,1834,123,1562,511,1452,664,747,38,212
2019,Clatsop,7,276,234,517,7,430,24,329,181,367,150,147,41,140
2019,Columbia,5,130,112,247,5,204,14,176,67,170,77,96,14,54
2019,Coos,8,197,179,384,9,297,20,246,135,263,121,106,6,126
2019,Crook,0,68,62,130,0,100,13,100,28,83,47,25,5,42
2019,Curry,3,62,56,121,3,83,8,89,31,76,45,34,3,47
2019,Deschutes,13,345,347,705,15,489,45,499,203,504,200,269,20,158
2019,Douglas,12,350,327,689,13,518,105,444,239,441,247,119,7,320
2019,Gilliam,1,35,32,68,2,49,20,36,32,42,26,1,0,52
2019,Grant,1,25,18,44,1,34,2,30,13,23,21,6,0,27
2019,Harney,4,35,38,77,5,50,9,47,29,39,38,10,0,40
2019,Hood River,0,92,93,185,0,144,17,115,63,127,58,48,4,67
2019,Jackson,10,562,459,1031,10,828,81,816,202,674,354,330,56,274
2019,Jefferson,3,95,87,185,3,143,18,116,69,117,68,61,4,75
2019,Josephine,9,382,369,760,9,552,49,537,217,564,195,217,70,219
2019,Klamath,12,288,272,572,12,421,82,343,222,342,228,126,11,223
2019,Lake,2,40,44,86,2,55,8,63,22,51,35,8,1,48
2019,Lane,16,776,615,1407,17,1209,90,959,425,978,423,454,69,327
2019,Lincoln,5,242,241,488,5,369,25,339,140,358,130,168,44,145
2019,Linn,10,571,389,970,10,869,70,630,315,704,263,363,58,186
2019,Malheur,7,132,173,312,8,200,61,246,63,165,147,64,15,125
2019,Marion,19,967,640,1626,21,1661,138,1139,428,1102,519,473,144,289
2019,Morrow,1,52,50,103,1,75,19,67,35,55,48,10,0,58
2019,Multnomah,20,2300,1633,3953,22,3348,285,2852,942,2745,1203,1328,47,267
2019,Polk,5,308,210,523,5,507,21,353,160,324,197,185,28,134
2019,Sherman,2,44,39,85,2,70,28,41,44,55,30,9,0,54
2019,Tillamook,4,159,180,343,4,248,13,226,113,247,96,94,11,137
2019,Umatilla,13,287,350,650,13,426,106,453,192,415,234,238,18,182
2019,Union,0,80,113,193,0,106,45,104,86,108,85,25,2,99
2019,Wallowa,3,19,20,42,3,29,0,25,16,27,15,6,0,26
2019,Wasco,3,102,91,196,3,147,50,115,80,131,64,21,3,116
2019,Washington,15,1441,968,2424,16,2179,100,1732,654,1705,717,869,52,225
2019,Wheeler,4,17,14,35,4,20,1,21,10,25,8,1,0,29
2019,Yamhill,8,444,269,721,13,713,25,541,166,508,212,300,39,191
